"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C20","0402_C","44.704mm","33.934mm","44.704mm","33.953mm","44.704mm","34.378mm","T","270","6pF"
"C19","0402_C","40.894mm","33.934mm","40.894mm","33.953mm","40.894mm","34.378mm","T","270","6pF"
"C18","0402_C","38.354mm","42.291mm","38.354mm","42.291mm","38.354mm","41.866mm","T","90","10pF"
"C17","0402_C","50.546mm","44.45mm","50.546mm","44.45mm","50.546mm","44.875mm","T","270","100nF"
"C16","0402_C","40.259mm","66.802mm","40.259mm","66.802mm","40.259mm","66.377mm","T","90","100nF"
"C15","0402_C","36.449mm","49.403mm","36.449mm","49.403mm","36.874mm","49.403mm","T","180","100nF"
"C14","0402_C","46.228mm","44.577mm","46.228mm","44.577mm","46.228mm","45.002mm","T","270","100nF"
"C13","0402_C","57.023mm","63.856mm","57.023mm","63.837mm","57.023mm","63.412mm","T","90","100nF"
"C12","0402_C","58.268mm","50.165mm","58.249mm","50.165mm","57.824mm","50.165mm","T","360","100nF"
"C11","0603_C","37.592mm","36.195mm","37.6mm","36.195mm","38.37mm","36.195mm","T","180","10uF"
"C10","0402_C","37.643mm","34.544mm","37.636mm","34.544mm","38.061mm","34.544mm","T","180","1nF"
"C9","0402_C","54.737mm","44.45mm","54.737mm","44.45mm","54.737mm","44.875mm","T","270","100nF"
"C8","0805_C","56.769mm","43.688mm","56.769mm","43.687mm","56.769mm","44.577mm","T","270","10uF"
"C7","0402_C","36.982mm","45.847mm","37.001mm","45.847mm","37.426mm","45.847mm","T","180","100nF"
"C6","0402_C","51.943mm","44.45mm","51.943mm","44.45mm","51.943mm","44.025mm","T","90","100nF"
"C5","0402_C","51.003mm","37.084mm","51.01mm","37.084mm","50.585mm","37.084mm","T","360","22pF"
"C4","0603_C","41.91mm","66.802mm","41.91mm","66.802mm","41.91mm","67.572mm","T","270","2.2uF"
"C3","0603_C","60.071mm","60.833mm","60.071mm","60.833mm","60.841mm","60.833mm","T","180","2.2uF"
"C2","0402_C","46.584mm","37.084mm","46.565mm","37.084mm","46.99mm","37.084mm","T","180","22pF"
"C1","0603_C","63.246mm","44.958mm","63.254mm","44.958mm","64.024mm","44.958mm","T","180","100nF"
"BAT","CR1220_B","18.034mm","70.612mm","17.443mm","70.612mm","27.095mm","70.612mm","T","360","BAT CR1220"
"J1","PCIEmin-i","64.008mm","62.281mm","85.852mm","49.803mm","90.202mm","74.103mm","B","90","EC25-AU"
